method,frame,time_sec,shift_z_px,shift_y_px,shift_x_px,shift_z_um,shift_y_um,shift_x_um
01_traditional,0,0,0.0,0.0,0.0,0.0,0.0,0.0
01_traditional,1,1652,0.0,0.25,1.5,0.0,0.0330810546875,0.199951171875
01_traditional,2,2048,0.0,2.25,0.25,0.0,0.2977294921875,0.0333251953125
01_traditional,3,2559,0.0,-3.75,0.5,0.0,-0.4962158203125,0.066650390625
01_traditional,4,2672,0.0,-4.0,0.5,0.0,-0.529296875,0.066650390625
01_traditional,5,3506,0.0,7.75,0.0,0.0,1.0255126953125,0.0
01_traditional,6,3885,0.0,-2.75,0.0,0.0,-0.3638916015625,0.0
01_traditional,7,4262,0.0,-2.75,0.0,0.0,-0.3638916015625,0.0
01_traditional,8,4637,0.0,0.5,0.25,0.0,0.066162109375,0.0333251953125
01_traditional,9,5018,0.0,3.5,0.25,0.0,0.463134765625,0.0333251953125
01_traditional,10,5417,0.25,4.0,0.25,0.25,0.529296875,0.0333251953125
01_traditional,11,5927,0.25,1.75,0.0,0.25,0.2315673828125,0.0
01_traditional,12,6042,0.25,1.75,0.0,0.25,0.2315673828125,0.0
01_traditional,13,6878,0.25,0.25,0.5,0.25,0.0330810546875,0.066650390625
01_traditional,14,7252,0.25,0.5,2.0,0.25,0.066162109375,0.2666015625
01_traditional,15,7631,0.25,1.25,0.0,0.25,0.1654052734375,0.0
01_traditional,16,8007,0.0,0.5,-0.25,0.0,0.066162109375,-0.0333251953125
02_xy_z_split,0,0,0.0,0.0,0.0,0.0,0.0,0.0
02_xy_z_split,1,1652,0.0,0.5,0.30000000000000004,0.0,0.066162109375,0.039990234375
02_xy_z_split,2,2048,0.1,2.4,0.2,0.1,0.317578125,0.02666015625
02_xy_z_split,3,2559,0.0,-3.5,0.2,0.0,-0.463134765625,0.02666015625
02_xy_z_split,4,2672,0.0,-4.5,0.1,0.0,-0.595458984375,0.013330078125
02_xy_z_split,5,3506,0.0,7.6,0.1,0.0,1.0056640625,0.013330078125
02_xy_z_split,6,3885,0.0,-2.9,0.0,0.0,-0.383740234375,0.0
02_xy_z_split,7,4262,0.0,-2.6,0.1,0.0,-0.34404296875,0.013330078125
02_xy_z_split,8,4637,0.1,0.4,0.1,0.1,0.0529296875,0.013330078125
02_xy_z_split,9,5018,0.1,3.2,0.2,0.1,0.4234375,0.02666015625
02_xy_z_split,10,5417,0.4,2.8,0.0,0.4,0.3705078125,0.0
02_xy_z_split,11,5927,0.2,1.0,0.2,0.2,0.13232421875,0.02666015625
02_xy_z_split,12,6042,0.3,0.9,0.1,0.3,0.119091796875,0.013330078125
02_xy_z_split,13,6878,0.3,0.0,2.3,0.3,0.0,0.306591796875
02_xy_z_split,14,7252,0.3,0.1,0.0,0.3,0.013232421875,0.0
02_xy_z_split,15,7631,0.3,0.6,0.2,0.3,0.07939453125,0.02666015625
02_xy_z_split,16,8007,0.1,0.5,0.1,0.1,0.066162109375,0.013330078125
04_structure_laplacian,0,0,0.0,0.0,0.0,0.0,0.0,0.0
04_structure_laplacian,1,1652,0.0,0.2,1.0,0.0,0.02646484375,0.13330078125
04_structure_laplacian,2,2048,0.0,3.0,1.4,0.0,0.39697265625,0.18662109375
04_structure_laplacian,3,2559,0.0,-4.1,1.0,0.0,-0.542529296875,0.13330078125
04_structure_laplacian,4,2672,0.0,-4.4,0.4,0.0,-0.5822265625,0.0533203125
04_structure_laplacian,5,3506,0.0,8.0,-0.4,0.0,1.05859375,-0.0533203125
04_structure_laplacian,6,3885,0.1,-3.1,0.3,0.1,-0.410205078125,0.039990234374999996
04_structure_laplacian,7,4262,0.1,-3.2,1.0,0.1,-0.4234375,0.13330078125
04_structure_laplacian,8,4637,0.0,1.3,2.3,0.0,0.172021484375,0.306591796875
04_structure_laplacian,9,5018,0.0,4.7,0.1,0.0,0.621923828125,0.013330078125
04_structure_laplacian,10,5417,0.0,4.7,0.4,0.0,0.621923828125,0.0533203125
04_structure_laplacian,11,5927,0.1,1.4,0.6,0.1,0.18525390625,0.07998046874999999
04_structure_laplacian,12,6042,0.9,0.8,2.0,0.9,0.105859375,0.2666015625
04_structure_laplacian,13,6878,0.1,0.0,1.9,0.1,0.0,0.25327148437499997
04_structure_laplacian,14,7252,0.0,1.1,1.5,0.0,0.145556640625,0.199951171875
04_structure_laplacian,15,7631,-0.1,2.2,-0.1,-0.1,0.29111328125,-0.013330078125
04_structure_laplacian,16,8007,0.1,0.2,-1.1,0.1,0.02646484375,-0.146630859375
